"","hours","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment","medicare_levy","PA"
"1",0,13326.14,0,0,0,0,2656.44693601609,0,0,0,90000,5896.56306398391,4773.13,0,0,0
"2",0.38,14122.46,0,995.4,0,0,2594.61543388736,0,0,995.4,90995.4,5759.31456611265,4773.13,0,0,0
"3",0.76,14918.78,0,1990.8,0,0,2532.78393175862,0,0,1990.8,91990.8,5622.06606824138,4773.13,0,0,0
"4",1.14,15715.1,0,2986.2,0,0,2470.95242962989,0,0,2986.2,92986.2,5484.81757037011,4773.13,0,0,0
"5",1.52,16511.42,0,3981.6,0,0,2409.12092750115,0,0,3981.6,93981.6,5347.56907249885,4773.13,0,0,0
"6",1.9,17307.74,0,4977,0,0,2347.28942537242,0,0,4977,94977,5210.32057462758,4773.13,0,0,0
"7",2.28,18104.06,0,5972.4,0,0,2285.45792324369,0,0,5972.4,95972.4,5073.07207675632,4773.13,0,0,0
"8",2.66,18718.62,0,6967.8,0,0,2223.62642111495,0,0,6967.8,96967.8,4935.82357888505,4591.37,0,0,0
"9",3.04,19315.86,0,7963.2,0,0,2161.79491898622,0,0,7963.2,97963.2,4798.57508101378,4392.29,0,0,0
"10",3.42,19913.1,0,8958.6,0,0,2099.96341685748,0,0,8958.6,98958.6,4661.32658314252,4193.21,0,0,0
"11",3.8,20510.34,0,9954,0,0,2038.13191472875,0,0,9954,99954,4524.07808527125,3994.13,0,0,0
"12",4.18,21107.58,0,10949.4,0,0,1976.30041260002,0,0,10949.4,100949.4,4386.82958739999,3795.05,0,0,0
"13",4.56,21704.82,0,11944.8,0,0,1914.46891047128,0,0,11944.8,101944.8,4249.58108952872,3595.97,0,0,0
"14",4.94,22302.06,0,12940.2,0,0,1852.63740834255,0,0,12940.2,102940.2,4112.33259165745,3396.89,0,0,0
"15",5.32,22842.54,0,13935.6,0,0,1773.17703309333,0,0,13935.6,103935.6,3935.95296690668,3197.81,0,0,0
"16",5.7,23340.24,0,14931,0,0,1680.42977990022,0,0,14931,104931,3730.08022009978,2998.73,0,0,0
"17",6.08,23837.94,0,15926.4,0,0,1587.68252670712,0,0,15926.4,105926.4,3524.20747329288,2799.65,0,0,0
"18",6.46,24335.64,0,16921.8,0,0,1494.93527351402,0,0,16921.8,106921.8,3318.33472648598,2600.57,0,0,0
"19",6.84,24833.34,0,17917.2,0,0,1402.18802032092,0,0,17917.2,107917.2,3112.46197967908,2401.49,0,0,0
"20",7.22,25331.04,0,18912.6,0,0,1309.44076712782,0,0,18912.6,108912.6,2906.58923287218,2202.41,0,0,0
"21",7.6,25828.74,0,19908,0,0,1216.69351393472,0,0,19908,109908,2700.71648606528,2003.33,0,0,0
"22",7.98,26326.44,0,20903.4,0,0,1123.94626074162,0,0,20903.4,110903.4,2494.84373925838,1804.25,0,0,0
"23",8.36,26821.368,-2.77199999999914,21898.8,0,0,1031.19900754852,0,0,21898.8,111898.8,2288.97099245149,1605.17,0,0,0
"24",8.74,27129.942,-191.897999999999,22894.2,0,0,938.451754355417,0,0,22894.2,112894.2,2083.09824564459,1406.09,0,0,0
"25",9.12,27438.516,-381.024,23889.6,0,0,845.704501162315,0,0,23889.6,113889.6,1877.22549883768,1207.01,0,0,0
"26",9.5,27686.19,-570.149999999999,24885,0,0,752.957247969215,0,0,24885,114885,1671.35275203079,1007.93,0,-60.8999999999996,0
"27",9.88,27895.224,-759.276,25880.4,0,0,660.209994776115,0,0,25880.4,115880.4,1465.48000522389,808.85,0,-160.44,0
"28",10.26,28104.258,-948.401999999999,26875.8,0,0,567.462741583014,0,0,26875.8,116875.8,1259.60725841699,609.77,0,-259.98,0
"29",10.64,28313.292,-1137.528,27871.2,0,0,474.715488389912,0,0,27871.2,117871.2,1053.73451161009,410.69,0,-359.52,0
"30",11.02,28310.716,-1326.654,28866.6,0,0,381.968235196811,0,0,28866.6,118866.6,847.861764803193,0,0,-459.059999999999,0
"31",11.4,28718.83,-1515.78,29862,0,0,289.22098200371,0,0,29862,119862,641.989017996293,0,0,-558.6,0
"32",11.78,29167.936,-1704.906,30857.4,0,0,196.473728810609,0,0,30857.4,120857.4,436.116271189395,0,0,-617.148,0
"33",12.16,29655.682,-1894.032,31852.8,0,0,103.726475617509,0,0,31852.8,121852.8,230.243524382497,0,0,-637.056,0
"34",12.54,30143.428,-2083.158,32848.2,0,0,10.9792224244077,0,0,32848.2,122848.2,24.3707775755988,0,0,-656.964,0
"35",12.92,30894.444,-2272.284,33843.6,0,0,0,0,0,33843.6,123843.6,0,0,0,-676.872,0
"36",13.3,31680.81,-2461.41,34839,0,0,0,0,0,34839,124839,0,0,0,-696.78,0
"37",13.68,32467.176,-2650.536,35834.4,0,0,0,0,0,35834.4,125834.4,0,0,0,-716.688,0
"38",14.06,33253.542,-2839.662,36829.8,0,0,0,0,0,36829.8,126829.8,0,0,0,-736.596,0
"39",14.44,34023.648,-3045.048,37825.2,0,0,0,0,0,37825.2,127825.2,0,0,0,-756.504,0
"40",14.82,34760.244,-3283.944,38820.6,0,0,0,0,0,38820.6,128820.6,0,0,0,-776.412,0
"41",15.2,35496.84,-3522.84,39816,0,0,0,0,0,39816,129816,0,0,0,-796.32,0
"42",15.58,36233.436,-3761.736,40811.4,0,0,0,0,0,40811.4,130811.4,0,0,0,-816.228,0
"43",15.96,36970.032,-4000.632,41806.8,0,0,0,0,0,41806.8,131806.8,0,0,0,-836.136,0
"44",16.34,37706.628,-4239.528,42802.2,0,0,0,0,0,42802.2,132802.2,0,0,0,-856.044,0
"45",16.72,38443.224,-4478.424,43797.6,0,0,0,0,0,43797.6,133797.6,0,0,0,-875.952,0
"46",17.1,39179.82,-4717.32,44793,0,0,0,0,0,44793,134793,0,0,0,-895.86,0
"47",17.48,39837.576,-5035.056,45788.4,0,0,0,0,0,45788.4,135788.4,0,0,0,-915.768,0
"48",17.86,40474.632,-5373.492,46783.8,0,0,0,0,0,46783.8,136783.8,0,0,0,-935.676,0
"49",18.24,41111.688,-5711.928,47779.2,0,0,0,0,0,47779.2,137779.2,0,0,0,-955.584,0
"50",18.62,41748.744,-6050.364,48774.6,0,0,0,0,0,48774.6,138774.6,0,0,0,-975.492,0
"51",19,42385.8,-6388.8,49770,0,0,0,0,0,49770,139770,0,0,0,-995.4,0
"52",19.38,43022.856,-6727.236,50765.4,0,0,0,0,0,50765.4,140765.4,0,0,0,-1015.308,0
"53",19.76,43659.912,-7065.672,51760.8,0,0,0,0,0,51760.8,141760.8,0,0,0,-1035.216,0
"54",20.14,44296.968,-7404.108,52756.2,0,0,0,0,0,52756.2,142756.2,0,0,0,-1055.124,0
"55",20.52,44934.024,-7742.544,53751.6,0,0,0,0,0,53751.6,143751.6,0,0,0,-1075.032,0
"56",20.9,45571.08,-8080.98,54747,0,0,0,0,0,54747,144747,0,0,0,-1094.94,0
"57",21.28,46208.136,-8419.416,55742.4,0,0,0,0,0,55742.4,145742.4,0,0,0,-1114.848,0
"58",21.66,46845.192,-8757.852,56737.8,0,0,0,0,0,56737.8,146737.8,0,0,0,-1134.756,0
"59",22.04,47482.248,-9096.28799999999,57733.2,0,0,0,0,0,57733.2,147733.2,0,0,0,-1154.664,0
"60",22.42,48119.304,-9434.724,58728.6,0,0,0,0,0,58728.6,148728.6,0,0,0,-1174.572,0
"61",22.8,48756.36,-9773.16,59724,0,0,0,0,0,59724,149724,0,0,0,-1194.48,0
"62",23.18,49393.416,-10111.596,60719.4,0,0,0,0,0,60719.4,150719.4,0,0,0,-1214.388,0
"63",23.56,50030.472,-10450.032,61714.8,0,0,0,0,0,61714.8,151714.8,0,0,0,-1234.296,0
"64",23.94,50667.528,-10788.468,62710.2,0,0,0,0,0,62710.2,152710.2,0,0,0,-1254.204,0
"65",24.32,51304.584,-11126.904,63705.6,0,0,0,0,0,63705.6,153705.6,0,0,0,-1274.112,0
"66",24.7,51941.64,-11465.34,64701,0,0,0,0,0,64701,154701,0,0,0,-1294.02,0
"67",25.08,52578.696,-11803.776,65696.4,0,0,0,0,0,65696.4,155696.4,0,0,0,-1313.928,0
"68",25.46,53216.129,-12141.835,66691.8,0,0,0,0,0,66691.8,156691.8,0,0,0,-1333.836,0
"69",25.84,53868.116,-12465.34,67687.2,0,0,0,0,0,67687.2,157687.2,0,0,0,-1353.744,0
"70",26.22,54520.103,-12788.845,68682.6,0,0,0,0,0,68682.6,158682.6,0,0,0,-1373.652,0
"71",26.6,55172.09,-13112.35,69678,0,0,0,0,0,69678,159678,0,0,0,-1393.56,0
"72",26.98,55824.077,-13435.855,70673.4,0,0,0,0,0,70673.4,160673.4,0,0,0,-1413.468,0
"73",27.36,56476.064,-13759.36,71668.8,0,0,0,0,0,71668.8,161668.8,0,0,0,-1433.376,0
"74",27.74,57128.051,-14082.865,72664.2,0,0,0,0,0,72664.2,162664.2,0,0,0,-1453.284,0
"75",28.12,57780.038,-14406.37,73659.6,0,0,0,0,0,73659.6,163659.6,0,0,0,-1473.192,0
"76",28.5,58432.025,-14729.875,74655,0,0,0,0,0,74655,164655,0,0,0,-1493.1,0
"77",28.88,59084.012,-15053.38,75650.4,0,0,0,0,0,75650.4,165650.4,0,0,0,-1513.008,0
"78",29.26,59735.999,-15376.885,76645.8,0,0,0,0,0,76645.8,166645.8,0,0,0,-1532.916,0
"79",29.64,60387.986,-15700.39,77641.2,0,0,0,0,0,77641.2,167641.2,0,0,0,-1552.824,0
"80",30.02,61039.973,-16023.895,78636.6,0,0,0,0,0,78636.6,168636.6,0,0,0,-1572.732,0
"81",30.4,61691.96,-16347.4,79632,0,0,0,0,0,79632,169632,0,0,0,-1592.64,0
"82",30.78,62343.947,-16670.905,80627.4,0,0,0,0,0,80627.4,170627.4,0,0,0,-1612.548,0
"83",31.16,62995.934,-16994.41,81622.8,0,0,0,0,0,81622.8,171622.8,0,0,0,-1632.456,0
"84",31.54,63647.921,-17317.915,82618.2,0,0,0,0,0,82618.2,172618.2,0,0,0,-1652.364,0
"85",31.92,64299.908,-17641.42,83613.6,0,0,0,0,0,83613.6,173613.6,0,0,0,-1672.272,0
"86",32.3,64951.895,-17964.925,84609,0,0,0,0,0,84609,174609,0,0,0,-1692.18,0
"87",32.68,65603.882,-18288.43,85604.4,0,0,0,0,0,85604.4,175604.4,0,0,0,-1712.088,0
"88",33.06,66255.869,-18611.935,86599.8,0,0,0,0,0,86599.8,176599.8,0,0,0,-1731.996,0
"89",33.44,66907.856,-18935.44,87595.2,0,0,0,0,0,87595.2,177595.2,0,0,0,-1751.904,0
"90",33.82,67559.843,-19258.945,88590.6,0,0,0,0,0,88590.6,178590.6,0,0,0,-1771.812,0
"91",34.2,68211.83,-19582.45,89586,0,0,0,0,0,89586,179586,0,0,0,-1791.72,0
"92",34.58,68863.817,-19905.955,90581.4,0,0,0,0,0,90581.4,180581.4,0,0,0,-1811.628,0
"93",34.96,69515.804,-20229.46,91576.8,0,0,0,0,0,91576.8,181576.8,0,0,0,-1831.536,0
"94",35.34,70167.791,-20552.965,92572.2,0,0,0,0,0,92572.2,182572.2,0,0,0,-1851.444,0
"95",35.72,70819.778,-20876.47,93567.6,0,0,0,0,0,93567.6,183567.6,0,0,0,-1871.352,0
"96",36.1,71471.765,-21199.975,94563,0,0,0,0,0,94563,184563,0,0,0,-1891.26,0
"97",36.48,72123.752,-21523.48,95558.4,0,0,0,0,0,95558.4,185558.4,0,0,0,-1911.168,0
"98",36.86,72775.739,-21846.985,96553.8,0,0,0,0,0,96553.8,186553.8,0,0,0,-1931.076,0
"99",37.24,73427.726,-22170.49,97549.2,0,0,0,0,0,97549.2,187549.2,0,0,0,-1950.984,0
"100",37.62,74079.713,-22493.995,98544.6,0,0,0,0,0,98544.6,188544.6,0,0,0,-1970.892,0
"101",38,74731.7,-22817.5,99540,0,0,0,0,0,99540,189540,0,0,0,-1990.8,0
